cat,Cat Meow,25,"cat,animal,cute,zoo"
tiger,Tiger Growl,25,"tiger,animal,forest,zoo"
pig,Pig Squeal,25,"pig,animal,zoo"
monkey,Monkey,25,"monkey,animal,zoo,forest"
dog,Dog Bark,25,"dog,bark,animal,pet"
explosion,Explosion,30,"war,bomb,weapon,explosion,soldier"
gun,Gunshot,25,"gun,war,weapon,soldier"
bird,Bird,25,"bird,chirp,animal,cute,peace"
boink,Boink,25,"boink,comedy"
laughtrack,Laugh Track,30,"laugh,laughter,laughtrack,comedy"
sneeze,Sneeze,25,"sneeze,comedy,people"
baby,Baby,25,"baby,people,cute"
