mars,Mars,50,"space,brown,sci-fi"
beach,Beach,50,"blue,green,white,"
starwarsbk,Death Star,50,"star wars,black,gadget,space,fantasy,sci-fi"
space,Alient planet,50,"sci-fi,space,alien,brown,green"
space2,Alient planet,50,"sci-fi,space,alien,brown"
foodbk,Food planet,50,"food,strawberry,banana,red,blue,yellow,pink,white,animal"
forestbk,Forest,50,"forest,wild,green"
wildbk,Forest at night,50,"forest,blue,wild"
zoobk,Zoo,50,"zoo,animal,green"
safaribk,Safari,50,"zoo,animal,green"
warbk,War zone,55,"war,weapon,soldier,black,grey"
warbk2,War zone,50,"war,weapon,red,black"
bakery,Bakery,50,"food,sweet,red"
bowl,Bowl,40,"cat,container,black,white,pet"
fantasy,Fantasy,50,"fantasy,green"
simpsons,Simpsons Living Room,50,"simpsons,red,pink,blue,green,cartoon"
gadget,Gadget Shop,45,"gadget,robot,tool,white"
garage,Garage,50,vehicle
graveyard,Graveyard,50,"horror,black,monster"
hospital,Hospital,50,health
stadium,Stadium,50,"sport,green,blue"
