God,"religious,people"
Muhammad,"religious,people"
a parrot,"bird,animal"
the Statue Of Liberty,statue
an apple,"fruit,food"
Woody from Toy Story,toy
an electrician,tool
a cow,animal
a soldier,weapon
a phone,gadget
a TV,gadget
a rifle,weapon
a fighter,war
a military tanker,war
Harry Potter,"book,people,fantasy"
private Ryan,"soldier,war"
a Sunday dinner,food
E.T.,"alien,people,sci-fi"
the Enterprise,sci-fi
Darth Vader,"sci-fi,star wars"
Godzilla,"monster,sci-fi"
Lance Armstrong,"health,sport"
an iPhone,gadget
a Samsung Galaxy S5,gadget
a occulus rift,gadget
Edward Snowden,"gadget,politics"
a packet of Haribo,"sweet,food"
English tea,"sweet,food"
a Mazda-MX5,vehicle
Jeremy Clarkson,"people,vehicle"
a tank,"war,weapon"
an x-wing,"vehicle,star wars,sci-fi"
a lightsaber,"weapon,star wars,sci-fi"
a gun,"weapon,war"
a sword,"steel,weapon"
a scrapyard,steel
David Beckham,"people,ball,sport,game"
Michael Jordan,"people,ball,sport,game"
the Liberal Democrats,"yellow,politics"
Che Guevara,"red,politics,history"
The Labour Party,"red,politics"
Chairman Mao,"red,politics,history"
David Cameron,"blue,politics"
a jar,"containers,food"
Homer Simpson,"simpsons,people,cartoon"
Lisa Simpson,"simpsons,people,cartoon"
Bart Simpson,"simpsons,people,cartoon"
Krusty the Clown,"simpsons,people,cartoon"
a kangaroo,animal
Steve Irwin,"animal,people,zoo"
the pope,"religious,people"
London Zoo,"zoo,animal"
a polar bear,"zoo,animal"
a penguin,"zoo,animal"
a wooden chair,wood
a wooden box,"wood,container"
a mallet,"wood,tool"
the bible,"religious,book"
Homer,"book,simpsons,people,history"
Ghandi,"politics,history,people"
Genghis Khan,"politics,history,people"
an asteroid,space
a spaceship,"space,sci-fi,fly"
a planet,space
Nelson's column,"history,war,people,statue"
Christ the Redeemer,"religious,statue"
barbie,"pink,toy,person"
a pig,"animals,pink"
cotton candy,"pink,sweet,food"
marshmallows,"pink,sweet,food"
ballet shoes,pink
a dog,"animal,pet,cute"
a cat,"animal,pet,cute"
a hamster,"animal,pet,cute"
a gerbil,"animal,pet,cute"
a rat,"animal,pet"
a cat lady,"animal,pet,person"
Gandalf,"fantasy,people"
Peter Pan,"fantasy,people"
Dracula,"horror,people,blood,fly"
a ghost,"horror,people,fly"
a shrunken head,horror
a bat,"horror,animal,pet,fly"
a fly,fly
superman,"fly,people"
an airline pilot,"fly,people"
a baby,"cute,people"
a dreidel,"toy,religious,wood"
a teddy bear,"toy,cute"
Dora the Explorer,"cartoon,people"
Stewie Griffin,"cartoon,people,cute"
Leonardo,"history,people,tmnt,cartoon"
Michelangelo,"history,people,tmnt,cartoon"
Donatello,"history,people,tmnt,cartoon"
Raphael,"history,people,tmnt,cartoon"
The Libertines,"music,people"
Pete Doherty,"music,people"
John Lennon,"music,people,history,politics"
Elvis Presley,"music,people"
Redwood National Park,forest
Smokey Bear,"forest,people,cartoon"
Yogi Bear,"forest,people,cartoon"
Wall-E,"robot,people"
C3P0,"robot,star wars,sci-fi"
R2D2,"robot,star wars,sci-fi"
a rose,"flower,red"
a lotus,"flower,pink"
a blood donor,"blood,people"
Po from Kung-Fu Panda,"cartoon,people,kung-fu panda"
Master Shifu,"cartoon,people,kung-fu panda"
a silver necklace,silver
Hermione Granger,"harry potter,people,fantasy"
the Silver Surfer,"silver,cartoon,fly"
"Tim ""The Tool Man"" Taylor","person,tool"
