bear,Bear,100,"animal,cute,toy,brown,zoo"
cat,Cat,60,"animal,cute,toy,white, pet"
dog,Dog,70,"animal,pet,cute,toy,white"
monkey,Monkey,70,"animal,toy,zoo,brown,forest"
penguin,Penguin,150,"bird,black,white,ice,cute"
rat,Rat,40,"animal,grey,small,cute,pet"
fish,Fish,150,"animal,grey,water,small,cute"
elephant,Elephant,300,"animal,toy,grey,zoo,forest"
bible,Bible,50,"religious,book,red,peace,worship"
gun,Gun,300,"weapon,black,war,blood"
knife,Knife,5,"weapon,blood,black,steel,war"
smartphone,Smartphone,135,"gadget,silver,android,samsung,game"
tv,Tv,100,"gadget,samsung,brown,game,entertainment"
laptop,Laptop,500,"gadget,silver,game,ios,entertainment"
soldier,Soldier,100,"toy,people,statue,green,war"
doctor,Doctor,100,"toy,people,white,life,health"
police,Police,100,"toy,people,brown,life"
strawberry,Strawberry,10,"fruit,red,health,sweet"
twitter,Twitter,30,"bird,blue"
angrybird,Angry Bird,30,"bird,red,game,android,ios"
buddha,Buddha,100,"religious,red,statue,peace,worship,history"
cross,Cross,100,"religious,black,worship"
liberty,Liberty,200,"statue,blue"
book,Book,50,"book,brown,entertainment"
apple,Apple,10,"fruit,green,health,sweet"
car,Car,100,"pink,vehicle"
rose,Rose,20,"flower,pink"
cake,Cake,30,"food,pink"
banana,Banana,15,"food,yellow,fruit,health"
bart,Bart Simpson,75,"people,yellow,red,blue,green,simpsons"
lisa,Lisa Simpsons,75,"people,yellow,simpsons,red"
marge,Marge Simpsons,75,"people,yellow,blue,simpsons"
homer,Homer Simpsons,75,"people,yellow,simpsons"
maggie,Maggie Simpson,75,"people,blue,yellow,baby,simpsons"
nurse,Nurse,75,"people,health,white"
bicycle,Bicycle,50,"vehicle,green"
chef,Chef,75,"food,white,people"
hammer,Hammer,30,"tool,steel,weapon"
house,House,100,"place,white"
jupiter,Jupiter,100,"place,space"
santa,Santa,75,"people,red,white"
anakin,Anakin Skywalker,75,"people,star wars,black,sci-fi"
c3po,C3PO,75,"people,gadget,star wars,sci-fi"
maul,Darth Mauk,75,"people,star wars,black,red,sci-fi"
chewbacca,Chewbacca,75,"people,alien,star wars,brown,sci-fi"
han,Han Solo,75,"people,star wars,sci-fi,white,black,weapon"
jar,Jar Jar Binks,75,"people,alien,star wars,sci-fi,brown"
dstar,Deat Star,100,"place,gadget,star wars,sci-fi"
pyramid,Pyramids,100,"place,brown,worship,history"
obi,Obi Wan Kanobi,100,"people,star wars,white,sci-fi"
padme,Padme Amidala,75,"people,star wars,white,sci-fi,weapon"
lein,Princess Leia,75,"people,star wars,white,sci-fi"
java,Java the Hutt,75,"people,alien,star wars,brown,sci-fi"
luke,Luke Skywalker,75,"people,star wars,black,sci-fi,weapon"
oldobi,Old Obi Wan Kanobi,75,"people,star wars,brown,sci-fi"
r2d2,R2D2,75,"star wars,gadget,white,blue,sci-fi"
stormtrooper,Stormtrooper,75,"star wars,people,soldier,white,sci-fi"
mask,Scream mask,40,"monster,white,black,horror"
yoda,Yoda,75,"people,alien,star wars,green,sci-fi"
Millenium-Falcon,Millenium ¤Falcon,100,"star wars,gadget,white,sci-fi,vehicle,war,weapon"
vader,Darth Vader,75,"people,star wars,black,sci-fi,red,weapon"
tajmahal,Taj Mahal,100,"place,white,history"
colosseum,Colosseum,100,"place,brown,history"
arc,ARC-170-01,75,"star wars,gadget,white,sci-fi,vehicle,war,weapon"
bigben,Big Ben,90,"place,history,brown,gadget"
eiffel,Eiffel Tower,90,"place,history,brown"
