Reading,"book,bible,history"
Praying,religious
Playing,"toy,cute,game,sport,ball"
Flying,"bird,fly"
Shooting,weapon
Tweaking,gadget
Worshipping,"worship,statue"
Eating,"fruit,sweet,ice"
Gripping,steel
Fighting,war
Hunting,animal
Petting,pet
Wandering,"zoo,forest"
Maintaining,health
Looking,"white,brown,small,green,black,yellow,pink"
Bleeding,"blue,red,blood"
Enjoying,life
Liking ,"sweet,fruit,flowers"
Watching,"sci-fi,horror,star wars,fantasy,space,kung-fu panda,harry potter,tmnt,simpsons"
Storing,containers
Driving,vehicle
Frightening,"monster,alien"
Making,"wood,steel,silver"
Listening,music
Hating,politics
working,"tool,robot"
Writing ,text
