aircompressor,Air compressor,25,"tool,robot"
aircraft,Aircraft,25,"aeroplane,fly,vehicle"
alarm,Emergency Alarm,25,"health,people,life"
alien,Alien,25,"alien,sci-fi,people,horror,fantasy"
baby,Baby,25,"baby,people,cute"
ballcrowd,Ball Game Crowd,25,"game,sport,entertainment,play,ball"
bell,Church Bell,25,"music,instrument,play,bible,religious,entertainment,buddha"
bird,Bird,25,"bird,chirp,animal,cute,peace"
boink,Boink,25,"boink,comedy"
car,Car,25,"car,vehicle"
cat,Cat Meow,25,"cat,animal,cute,zoo,pet"
cheer,Cheering ,25,"game,sport,entertainment,play,ball"
churchbell,Church Bell Tolling,30,religious
comedyeffect,Comedy Effect,25,"simpsons,cartoon"
comedyspring,Comedy Spring,25,"simpsons,cartoon"
dog,Dog Bark,25,"dog,bark,animal,pet"
drill,Drilling tool,25,"tool,robot"
drumbeat,Drum Roll,25,"music,brown,instrument,play,toy,gadget,entertainment"
explosion,Explosion,30,"war,bomb,weapon,explosion,soldier"
gun,Gunshot,25,"gun,war,weapon,soldier"
harp,Harp Run,25,"music,instrument,play,toy"
kungfu,Kung-fu Panda ,25,kung-fu panda
laughtrack,Laugh Track,30,"laugh,laughter,laughtrack,comedy"
lion,Lion Roar,25,"animal,toy,zoo,brown,forest,wild"
miscellaneous,Miscellaneous,25,"steel,weapon,containers"
missile,Missile,25,"weapon,fantasy,game,war"
monkey,Monkey,25,"monkey,animal,zoo,forest"
monster,Monster,25,"monster,horror,sci-fi,fantasy"
peacock,Peacock,25,"bird,fly,cute,rain"
pig,Pig Squeal,25,"pig,animal,zoo"
pigeon,Pigeon Fight,25,"bird,chirp,cute"
scifi,Sci-Fi,25,"sci-fi,fantasy,horror"
smoke,Smoke Alarm,25,"decoration,fantasy"
sneeze,Sneeze,25,"sneeze,comedy"
spacevehicle,Space Vehicle Launch,30,"space,sci-fi"
sport,Sport Crowd,25,"game,sport,entertainment,play,ball"
steelcutter,Steel Cutter,25,"steel,tool,weapon"
tiger,Tiger Growl,25,"tiger,animal,forest,zoo"
vampire,Vampire Howl,25,"monster,horror,people,funny,fantasy"
water,Water Splash Trickle,25,"rain,water,white,blue"
witchcraft,Witch Sound,25,harry potter
