random,Random,Ä
channel1,Channel 1,Channel 1 Desc
channel2,Channel 2,Channel 2 Desc
channel3,Channel 3,Channel 3 Desc
channel4,Channel 4,Channel 4 Desc
channel5,Channel 5,Channel 5 Desc
channel6,Channel 6,Channel 6 Desc
channel7,Channel 7,Channel 7 Desc
channel8,Channel 8,Channel 8 Desc
channel9,Channel 9,Channel 9 Desc
channel10,Channel 10,Channel 10  Desc
rit,Rhode Island TV,Rhode Island TV
etv,Educational TV,Educational TV
coc,Columbia City TV,City of Columbia Public Access TV
cof,Florence Gov Access,City of Florence Public Access TV
uc,Union Connection,City of Union channel
rfc,Rutherford Gov. TV,Rutherford County Tennessee
wctv,Williamson Gov TV,Williamson County Government TV
cf,Franklin Gov. TV,City of Franklin
ghs,Germantown Gov. TV,Germantown Community TV
ppa,Portland Public Access,Portland Public Access
