The Lion King,animal
Songs of Praise,religious
Home Improvement,"tool,steel"
Toy Story,toy
Easy Cooking,"fruit,food"
Once Upon a Time,book
Band of Brothers,"war,weapon,soldier"
Dr Dolittle,"animal,pet,bird,blue"
Passion of the Christ,"religious,worship"
Kungfu Panda,"animal,cute"
Star Wars,"gadget,weapon,war,blue,sci-fi,alien,star wars"
The Gadget Show,gadget
Jurrasic Park,animal
Planet of the Apes,"animal,zoo"
Saving Private Ryan,"war,weapon,soldier"
A Night at the Museum,"statue,animal,bird,gadget"
Ready Steady Cook,food
Good Food Live!,food
E.T,"alien,people,sci-fi"
Star Trek,"alien,sci-fi,people"
Godzilla,"monster,sci-fi"
Real Monsters!,"monster,cartoon"
The Simpsons,"simpsons,cartoon,people,yellow"
The Life Of Birds,"bird,animal,zoo"
Blue Planet,"animal,zoo,blue"
Life on Earth,"animal,zoo,forest"
Doctors,"health,blood"
Grey's Anatomy,"health,people,blood"
House M.D.,"health,people"
Top Gear,"gadget,vehicle"
Great British Bake Off,"sweet,food"
MasterChef,food
Jamie's Kitchen,food
Formula 1,vehicle
Teenage Mutant Ninja Turtles,"tmnt,weapon,cartoon"
Mortal Kombat,weapon
American Ninja,"weapon,steel"
Match of the Day,"sport,ball,game"
The Olympics,"sport,game"
Magic Schoolbus,"cartoon,yellow"
Storage wars,"containers,silver"
The Simpsons Movie,"simpsons,yellow,cartoon,people"
Madagascar,"animal,zoo,cute,cartoon"
Blinky Bill,"wood,cartoon,forest"
Goosebumps,"horror,book"
Harry Potter,"book,fantasy,harry potter"
The TV Book Club,book
Horrible Histories,"cartoon,history"
Game of Thrones,"fantasy,book,weapon"
Downton Abbey,history
The World At War,"history,politics,weapon,war,soldier"
Rome,"history,soldier,war,politics"
Deadwood,"history,wood,animal"
Firefly,"space,weapon,war,sci-fi"
Battlestar Galactica,"space,weapon,war,sci-fi"
Cosmos,"space,history"
Clueless,"pink,people"
Barbie and the Rockers,"pink,toy,people"
Sex and the city,"pink,people"
Homeward bound,"pet,people,animal"
Garfield Movie,"pet,animal"
Scream,"weapon,horror"
Catch me if you can,fly
Superman,"fly,people"
Kids Say the Funniest Things,"cute,people"
Animal Planet,"animal,cute,pet,zoo"
Small Soldiers,"toy,war,weapon,soldier"
Child's Play,"toy,horror"
The Lion King,"zoo,animal,cartoon"
Top of the pops,music
I-Robot,"sci-fi,robot,weapon"
Wall-E,"sci-fi,robot,cartoon"
True Blood,"horror,blood"
E.R,"blood,health"
Real Deal,silver
The Thick of It,politics
Veep,politics
Animal Farm,"animal,politics,weapon"
