black,colour,black things
white,colour,white things
green,colour,green things
grey,colour,grey things
brown,colour,brown things
red,colour,red things
soldier,creature,soldier
food,food,food
alien,creature,alien
sci-fi,genre,science fictin things
monster,creature,monsters
star wars,media,things related to Star Wars
blue,colour,blue stuff
bird,creature,birds
fruit,food,fruits
health,miscellaneous,healthy things
gadget,technology,gadgets
sweet,food,sweet things
vehichle,technology,vehichles
war,genre,things about war
weapon,technology,weapons
steel,miscellaneous,things made of steel
ball,gadget,balls
game,genre,sports game
yellow,colour,yellow things
containers,gadget,storage containers
simpsons,media,things related to the Simpsons
animal,creature,animals
zoo,place,zoo
wood,miscellaneous,things made of wood
religious,genre,religious things
book,media,books
history,genre,historical things
space,place,thinsg related to space
statue,miscellaneous,staues
pink,colour,pink stuff
pet,creature,pets
fantasy,genre,things related to fantasy
horror,genre,horror things
fly,miscellaneous,things that fly
